numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201521338H;Optimisation intégrée pour problèmes à structure complexe;INOCS;2015;Unité propre;21;2;;;;;Brotcorne;Luce;;;Centrale Lille Institut,Institut national de la recherche en informatique et automatique,Université de Lille (EPE);CLI,INRIA,LILLE;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0597139P,0780491K,0597239Y;19590349700012,18008904700013,13002975400012;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201521249L,200818245B;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521338H&PUBLIC=OK
200512549Y;CHIMIE MOLECULAIRE, MACROMOLECULAIRE, MATERIAUX;C3M;2005;Unité mixte;22;2;https://www.c3m.espci.fr/-C3M-;10 rue Vauquelin;75005;PARIS;NICOLAŸ,GUERINOT;Renaud,Amandine;DIR,Directrice adjointe;UMR 7167,UMR 7167,UMR 7167;Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,Centre national de la recherche scientifique,Université Paris sciences et lettres;ESPCI PARIS,CNRS,PSL;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753429V,0753639Y,0756036D;20000068500012,18008901303720,13002614900018;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200510681T;;;;;4;Chimie;"PE3;PE5";Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200512549Y&PUBLIC=OK
201621881U;DECHETS-EAU -ENVIRONNEMENT-POLLUTIONS;DEEP;2016;Unité propre;21;2;http://deep.insa-lyon.fr/;11 rue de la physique Bât. Sadi CARNOT;69621;VILLEURBANNE;;;;EA 7429;Institut National des Sciences Appliquées Lyon;INSA LYON;AUT_ETAB;Autres établissements ESR;0690192J;19690192000013;TUTE;établissement tutelle;;;200715370F;éclatement;E;2016;8;Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201621881U&PUBLIC=OK
200810760R;Fédération de Recherche, Eau, environnement et territoires;FREAU;2012;Structures Fédératives de Recherche;3;3;http://www.recherche-environnement.univ-bpclermont.fr/;24 avenue Blaise Pascal;63177;AUBIERE CEDEX;LATOUR,FORANO,DEGUILLAUME,TRAORE;Dephine,Claude,Laurent,Ousmane;Directrice adjointe,Directeur,Directeur adjoint,Directeur adjoint;FR 3467,FR 3467;VetAgro Sup,Centre national de la recherche scientifique,Institut national polytechnique Clermont Auvergne,Université Clermont Auvergne  (EPE),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,BRGM;VETAGRO SUP,CNRS,Clermont Auvergne INP,U Clermont Auvergne,INRAE,BRGM;AUT_ETAB,EPST,AUT_ETAB,UNIV,EPST,EPIC;Autres établissements ESR,Organismes de type EPST,Autres établissements ESR,Université,Organismes de type EPST,Organismes de type EPIC;0690193K,0753639Y,0632033T,0632084Y,0755363X;13000858400018,18008901303720,13002191800011,13002806100013,18007003901803,58205614900120;TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;201722611H,201220235X,201220211W,200817617U,200212221E,200017467R,200017466P,200012134U,200012122F,200012116Z,197412323M;;;;;;2,3,4,5,6,9,10;Physique,Sciences de la terre et de l'univers, espace,Chimie,Biologie, médecine et santé,Sciences humaines et humanités,Sciences et technologies de l'information et de la communication,Sciences agronomiques et écologiques;"PE10;SH3;LS8;LS9";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810760R&PUBLIC=OK
201621962G;UMR 5317 - INSTITUT D'HISTOIRE DES REPRESENTATIONS DANS LES MODERNITES;IHRIM;2016;Unité mixte;22;2;http://ihrim.ens-lyon.fr;15 parvis René-Descartes;69342;LYON CEDEX 07;BARA,GASQUET(SITE CLERMONT-FD),MESTRE - ZARAGOZA;Olivier,Axel,Marina;Directeur adjoint,Directrice;UMR 5317,UMR 5317,UMR 5317,UMR 5317,UMR 5317,UMR 5317;Université Lumière Lyon 2,Université Jean Moulin Lyon 3,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon,Université Clermont Auvergne  (EPE),Université Jean Monnet EPE;LYON 2,LYON 3,CNRS,ENS LYON,U Clermont Auvergne,UJM;UNIV,UNIV,EPST,AUT_ETAB,UNIV,UNIV;Université,Université,Organismes de type EPST,Autres établissements ESR,Université,Université;0691775E,0692437Z,0753639Y,0694123G,0632084Y,0422388T;19691775100014,19692437700282,18008901303720,13000812100019,13002806100013,93850168100010;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201623051R,201623050P;200610832C;199911729H,199512041P;"fusion;fusion";"F;F";"2016;2016";6;Sciences humaines et humanités;SH5;Texts and Concepts : Literary studies, literature, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201621962G&PUBLIC=OK
200114758S;LABORATOIRE D'URBANISME;LABURBA;2010;Unité mixte;22;2;http://www.laburba.fr;LAB'URBA Université Paris-Est Marne la Vallée bâtiment Bienvenue -  5 Boulevard Descartes Champs sur Marne;77454;MARNE LA VALLÉE CEDEX 2;ARAB,BUYCK;Nadia,Jennifer;;EA 7374,EA 3482;Université Paris est Créteil Val de Marne,Ecole D'Ingénieurs de la Ville de Paris,Université Gustave Eiffel;UPEC,EIVP,UNIV.G.EIFFEL;UNIV,AUT_ETAB,UNIV;Université,Autres établissements ESR,Université;0941111X,0750043P,0772894C;19941111700013,20000069300024,13002612300013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;199715863K,199213103G,199213102F;"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2001;2001;2001";6;Sciences humaines et humanités;SH3;The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200114758S&PUBLIC=OK
199021978M;Centre de Recherche en Architecture et Ingénierie;MAP-CRAI;1987;Unité propre;21;2;http://meurthe.crai.archi.fr;2, rue Bastien Lepage;54000;Nancy;MEYER;Julien;Directeur;;Ecole Nationale Supérieure d'Architecture de Nancy;EC. ARCHI. NANCY;AUT_ETAB;Autres établissements ESR;0540135D;19540135100026;TUTE;établissement tutelle;;202424584X;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199021978M&PUBLIC=OK
199213261D;CENTRE DE RECHERCHES ADMINISTRATIVES;CRA;1992;Unité propre;21;2;https://cra.univ-amu.fr/fr;3 avenue Robert Schuman;13628;AIX-EN-PROVENCE CEDEX 01;LOMBARD;Frédéric;Directeur;UR 893;Université Aix-Marseille;AIX-MARSEILLE;UNIV;Université;0134009M;13001533200013;TUTE;établissement tutelle;;;;;;;7;Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199213261D&PUBLIC=OK
201221518S;INSTITUT DE RECHERCHE SUR LES TRANSPORTS, L'ÉNERGIE ET LA SOCIÉTÉ;IRTES;2012;Unité mixte;22;2;;UTBM;90010;BELFORT CEDEX;BELOT;Robert;;EA 7274,EA 7274;Université de Technologie de Belfort-Montbéliard,Université Marie et Louis Pasteur;UT BELFORT,UMLP;UNIV,UNIV;Université,Université;0900424X,0252044L;19900356700013,93810656400017;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200014614P,200014615R,200014613N;"fusion;fusion;fusion";"F;F;F";"2012;2012;2012";2,4,8,9;Physique,Chimie,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE6;PE5;PE8";Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221518S&PUBLIC=OK
201421530W;Religion, Culture et Société;;2014;Unité propre;21;2;http://www.icp.fr/recherche/lunite-de-recherche;ICP - 21, rue d'Assas;75270;PARIS Cedex 06;HOLZER;Vincent;;;Institut Catholique de Paris;INS.CATHO.PARIS;AUT_ETAB;Autres établissements ESR;0753541S;78428073700015;TUTE;établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH2;SH6;SH4;SH1;SH3;SH5";Institutions, Governance and Legal Systems : Political science, international relations, law,The Study of the Human Past : Archaeology and history,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics,Individuals, Markets and Organisations : Economics, finance, management,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Texts and Concepts : Literary studies, literature, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421530W&PUBLIC=OK
201521867H;Pathophysiology of glomerular diseases;;2015;Equipe interne;1;1;http://www.imrb.inserm.fr;UPEC - Faculté de médecine de Créteil - 8, rue du Général Sarrail;94010;Créteil Cedex;SAHALI;Djillali;;;Université Paris est Créteil Val de Marne;UPEC;UNIV;Université;0941111X;19941111700013;TUTE;établissement tutelle;;;;;;;;;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521867H&PUBLIC=OK
199712660D;Sciences et Ingenierie de la Matière Molle;SIMM;1997;Unité mixte;22;2;http://www.umr7615.espci.fr/;10 Rue Vauquelin;75231;PARIS CEDEX 05;TRAN,CHATEAUMINOIS,D'ESPINOSE,BRESSON;Yvette,Antoine,Jean-baptiste,Bruno;ADJOINT,ADJOINT,DIRECTEUR,ADJOINT;UMR 7615,UMR 7615,UMR 7615,UMR 7615;Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,Centre national de la recherche scientifique,Sorbonne Université,Université Paris sciences et lettres;ESPCI PARIS,CNRS,SORBONNE UNIV.,PSL;AUT_ETAB,EPST,UNIV,UNIV;Autres établissements ESR,Organismes de type EPST,Université,Université;0753429V,0753639Y,0755890V,0756036D;20000068500012,18008901303720,13002338500011,13002614900018;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;200219847U;;;;;2,4,8;Physique,Chimie,Sciences pour l'ingénieur;"PE5;PE3";Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712660D&PUBLIC=OK
201521899T;Unité Membrane, Cytosquelette et Division Cellulaire;;2015;Unité propre;21;2;https://research.pasteur.fr/en/team/membrane-traffic-and-cell-division/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;ECHARD;Arnaud;;;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;199818058S,200621925K;201021557T;renouvellement;R;2015;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521899T&PUBLIC=OK
201421915P;Unité de Biologie des infections virales émergentes;;2014;Unité propre;21;2;https://research.pasteur.fr/en/team/biology-of-viral-emerging-infections/;Unité de Biologie des infections virales émergentes 21 avenue Tony Garnier;69007;Lyon;BAIZE;Sylvain;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;200621937Y;200118196D;renouvellement;R;2014;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421915P&PUBLIC=OK
201421551U;Unité Anticorps en Thérapie et Pathologie;;2012;Unité propre;21;2;https://research.pasteur.fr/en/team/antibodies-in-therapy-and-pathology/;Unité des Anticorps en Thérapie et Pathologie Département d'Immunologie 25-28, rue du Docteur Roux;75724;Paris Cedex 15;Bruhns;Pierre;DIR;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201622813G,200621930R;;;;;5;Biologie, médecine et santé;LS6;Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421551U&PUBLIC=OK
201521861B;SENescence, Vulnerability, and ChrOnic DisEases;SENCODE;2015;Equipe interne;1;1;http://www.imrb.inserm.fr;UPEC - Faculté de médecine de Créteil - 8, rue du Général Sarrail;94010;Créteil Cedex;;;;;Université Paris est Créteil Val de Marne;UPEC;UNIV;Université;0941111X;19941111700013;TUTE;établissement tutelle;;200919261B;;;;;;;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521861B&PUBLIC=OK
195522890F;Institut Pasteur de Nouvelle-Calédonie;;1955;Unité propre;21;2;http://www.institutpasteur.nc/;9 - 11, avenue Paul Doumer - BP 61;98845;Nouméa Cedex;JOUAN;Marc;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202424817A,202224335K,201524336S,201324334Y,201324333X,201324332W;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=195522890F&PUBLIC=OK
201722406K;Laboratoire Interdisciplinaire Sciences, Innovations, Sociétés;LISIS;2015;Unité mixte;22;2;https://umr-lisis.fr;5 boulevard Descartes;77454;MARNE LA VALLEE CEDEX 2 - CHAMPS SUR MARNE;WELLER,VILLARD,BOULEAU;Jean-Marc,Lionel,Gabrielle;DIR ADJ,DIR;UMR 9003,UMR 1326,UMR 9003;Ecole Supérieure Ingénieurs Electrotechnique, Electronique Marne La Vallée,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Gustave Eiffel;ESIEE MARNE,CNRS,INRAE,UNIV.G.EIFFEL;AUT_ETAB,EPST,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Université;0932019P,0753639Y,0772894C;13001727000146,18008901303720,18007003901803,13002612300013;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;201521278T;renouvellement;R;2017;7;Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722406K&PUBLIC=OK
201622412W;Institut d'études de l'Islam et des sociétés du monde musulman;IISMM;2016;Unité mixte;22;2;;96 boulevard Raspail;75006;PARIS;AVON;Dominique;Directeur;UAR 2500;Ecole des Hautes Etudes en Sciences Sociales Paris,Centre national de la recherche scientifique;EHESS PARIS,CNRS;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0753742K,0753639Y;19753742600011,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;;;"SH5;SH6;SH2";Texts and Concepts : Literary studies, literature, philosophy,The Study of the Human Past : Archaeology and history,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622412W&PUBLIC=OK
201622144E;Unité Neurogénétique du poisson zébré;;2016;Unité propre;21;2;https://research.pasteur.fr/en/team/zebrafish-neurogenetics/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;BALLY-CUIF;Laure;;;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;198718066Y,200621926L;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622144E&PUBLIC=OK
201622149K;SAnté INgenierie BIOlogie Saint-Etienne - U1059;SAINBIOSE;2016;Unité mixte;22;2;;Faculté de Médecine - campus Santé Innovations - 10 rue de la Marandinière;42270;Saint Priest en Jarez;VICO;Laurence;;U 1059,U 1059,U 1059;Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne),Institut national de la sante et de la recherche medicale,Université Jean Monnet EPE;ENSM ST-ETIENNE,INSERM,UJM;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0420094Z,0755364Y,0422388T;18009202500105,18003604800015,93850168100010;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;201119433E,201119389G,201119379W;"fusion;fusion;fusion";"F;F;F";"2016;2016;2016";5;Biologie, médecine et santé;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622149K&PUBLIC=OK
201622160X;Fédération de Recherche Transports Terrestres et Mobilité (MARKIEWICZ Eric);TTM;2016;Structures Fédératives de Recherche;3;3;http://www.frttm.fr/;;59313;VALENCIENNES CEDEX 9;MARKIEWICZ;Eric;Directeur;FRA 3733,FR 3733;Centre national de la recherche scientifique,Université Polytechnique Hauts de France,Université de Lille (EPE),Centrale Lille Institut,Ecole Nationale Supérieure d'Arts et Métiers,Institut national de la recherche en informatique et automatique,Institut mines télécom,Institut Supérieur d'Electronique et du Numérique - Lille;CNRS,UPHF,LILLE,CLI,Arts et Métiers,INRIA,MinesTélécom,ISEN LILLE;EPST,UNIV,UNIV,AUT_ETAB,AUT_ETAB,EPST,AUT_ETAB,AUT_ETAB;Organismes de type EPST,Université,Université,Autres établissements ESR,Autres établissements ESR,Organismes de type EPST,Autres établissements ESR,Autres établissements ESR;0753639Y,0597132G,0597239Y,0597139P,0753237L,0780491K,0912424R,0590347G;18008901303720,13002574500014,13002975400012,19590349700012,19753472000010,18008904700013,18009202500154,78370700300027;TUTE,TUTE,TUTE,PART,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant,établissement participant;201220427F;;;;;;8,9;Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622160X&PUBLIC=OK
199713862K;Laboratoire Interuniversitaire des Sciences de l'Education et de la Communication (LISEC) (UR 2310);LISEC;1997;Unité mixte;22;2;http://www.lisec-recherche.eu;Université de Strasbourg, LISEC, site INSPE, 141 avenue de Colmar (contact : Mme Nathalie BULACH - nathalie.bulach@unistra.fr);67024;STRASBOURG;BEN ABID-ZARROUK,LAPOSTOLLE,BEN ABID-ZARROUK,TRESTINI;Sondess,Guy,Sondess,Marc;Directrice générale,Directeur du LISEC-Lorraine,Directrice du LISEC-UHA,Directeur du LISEC-Unistra;UR 2310,UR 2310,UR 2310;Université Haute Alsace Mulhouse,Université Strasbourg,Université de Lorraine;MULHOUSE,U. STRASBOURG,LORRAINE;UNIV,UNIV,UNIV;Université,Université,Université;0681166Y,0673021V,0542493S;19681166500013,13000545700010,13001550600012;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;202123747A;;;;;;6,9;Sciences humaines et humanités,Sciences et technologies de l'information et de la communication;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199713862K&PUBLIC=OK
200415049V;.JPEG - Laboratoire des sciences Juridiques, Politique, Economiques et de Gestion;UPR - 3788;2004;Unité propre;21;2;https://univ-avignon.fr/laboratoire/laboratoires-en-sciences-humaines-et-sociales/upr-3788-jpeg-laboratoire-sciences-juridiques-politique-economiques-gestion/;AVIGNON UNIVERSITE - Campus Hannah Arendt, site Sainte Marthe Bâtiment Nord - 74 rue Louis Pasteur, 84 000 Avignon;84029;AVIGNON CEDEX 1;LAGIER,FULCONIS;Christele,François;Dir. Adj.;EA 3788;AVIGNON UNIVERSITE;AU;UNIV;Université;0840685N;19840685200204;TUTE;établissement tutelle;;201420876K;;;;;7;Sciences de la société;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200415049V&PUBLIC=OK
200621925K;Département de Biologie cellulaire et Infection;;2006;Unité propre;21;2;https://research.pasteur.fr/en/department/cell-biology-infection/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;DUMENIL;Guillaume;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202424564A,202424480J,202224260D,202124143F,201923140Z,201822821G,201822789X,201722531W,201722245K,201521905Z,201521899T,201421921W,201421920V,201421559C,201421553W,201321623B,201321618W,200621893A,200521883U,200218063E,200118060F;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200621925K&PUBLIC=OK
200621930R;Département d'Immunologie;;2006;Unité propre;21;2;https://research.pasteur.fr/en/department/immunology/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;DERIANO;Ludovic;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202624795T,202424545E,202324410M,202324359G,202224198L,202124046A,201722530V,201722523M,201722522L,201622143D,201521910E,201421551U,201121545A,201021917J,201021898N,201021895K,200718124Z,200718041J,199518120X;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200621930R&PUBLIC=OK
200621937Y;Département de Virologie;;2006;Unité propre;21;2;https://research.pasteur.fr/en/department/virology/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;SALEH;Carla;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202424574L,202424563Z,202324377B,202324376A,202324355C,202324351Y,202324350X,202224199M,202124024B,202023541F,202023540E,202023539D,201923136V,201922943K,201421915P,201421597U,201421595S,201321620Y,201321615T,201021629W,201019275M,200821891P,200818198A,200718194A,200718042K,200418197S,200118187U;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200621937Y&PUBLIC=OK
201622206X;Institut des MAtériaux poreux de Paris;IMAP;2016;Unité mixte;22;2;http://www.chimie.ens.fr;24 rue  Lhomond;75005;PARIS;SERRE;Christian;DIR;UMR 8004,FRE 2000,UMR 8004,UMR 8004;Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,Ecole Normale Supérieure Paris,Centre national de la recherche scientifique,Université Paris sciences et lettres;ESPCI PARIS,ENS PARIS,CNRS,PSL;AUT_ETAB,AUT_ETAB,EPST,UNIV;Autres établissements ESR,Autres établissements ESR,Organismes de type EPST,Université;0753429V,0753455Y,0753639Y,0756036D;20000068500012,19753459700012,18008901303720,13002614900018;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;4;Chimie;PE5;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622206X&PUBLIC=OK
201622210B;Pôle Perspectives Internationales;PI;2016;Equipe interne;1;1;https://www.ined.fr/fr/recherche/equipes-recherche/M52;Campus Condorcet - 9, cours des Humanités - CS 50004;93322;Aubervilliers Cedex;ROZEE,BECQUET;Virginie,Valentine;;;Institut national d'études démographiques;INED;EPST;Organismes de type EPST;0755360U;18003702000039;TUTE;établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH3;SH2";The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622210B&PUBLIC=OK
200716500J;Nutrition, Diabète et Cerveau;NUDICE;2007;Unité mixte;22;2;http://u1213nutrition.univ-lyon1.fr/;Université Claude Bernard Lyon 1 UFR Médecine R.T.H. Laënnec Bâtiment de Recherche B7-11 Rue Guillaume Paradin;69372;LYON CEDEX 08;MITHIEUX;Gilles;DIR;U 1213,U 1213;Université Claude Bernard Lyon 1,Institut national de la sante et de la recherche medicale;LYON 1,INSERM;UNIV,EPST;Université,Organismes de type EPST;0691774D,0755364Y;19691774400019,18003604800015;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119838V;200317355F;éclatement;E;2007;5;Biologie, médecine et santé;"LS5;LS4";Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases);https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200716500J&PUBLIC=OK
